更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,四国名鉄運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,愛媛県松山市空港通4-5-5,1990,代表取締役社長 長谷川 靖,594,100 百万円,,,,
2024-08-01,国分首都圏株式会社,道路貨物運送業（宅配便・トラック運送など）,無,東京都中央区日本橋1-1-1国分ビルディング,1928,代表取締役 南 博貴,582,"1,110 百万円",,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 酒類・食品・関連消費財にわたる卸売業及び流通加工、オリジナルブランド食品の企画・開発、配送業務、貿易業、不動産賃貸借業、他 2023年6月doda掲載求人より引用,
2024-08-01,南光運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,宮城県石巻市重吉町7-1,1950,代表取締役 内田 耕一郎,576,160 百万円,,,,
2024-08-01,三井物産グローバルロジスティクス株式会社,倉庫業・梱包業,無,東京都港区東新橋2-14-1ＮＢＦコモディオ汐留 5Ｆ,1959,代表取締役 大矢 健二,554,"1,000 百万円",,,,
2024-08-01,ケイラインロジスティックス株式会社,航空運輸業,無,東京都中央区晴海1-8-10晴海アイランドトリトンスクエア オフィスタワーⅩ棟 30Ｆ,1960,代表取締役 平岡 亜古,549,600 百万円,,,,
2024-08-01,丸協運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府東大阪市長田3-6-10,1971,代表取締役 渡部 尚,544,16 百万円,,,■一般貨物自動車運送事業■通関業■倉庫業■不動産賃貸業■産業廃棄物収集運搬業■普通・小型・自動車分解整備事業 2023年11月doda掲載求人より引用,
2024-08-01,株式会社ＮＫトランス,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都千代田区神田三崎町3-3-23ニチレイ水道橋ビル,2006,代表取締役 石上 司,544,60 百万円,,,,
2024-08-01,山陽自動車運送株式会社,道路貨物運送業（宅配便・トラック運送など）,無,大阪府東大阪市西鴻池町3-1-22,1943,代表取締役社長 細川 武,543,80 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■一般貨物自動車運送事業特別積合（路線）一般貸切■貨物利用運送事業■引越事業■倉庫・一時保管事業■流通加工事業■駐車場事業＜関連会社＞■新和運輸株式会社 2023年3月doda掲載求人より引用,
2024-08-01,北海道コカ・コーラリテール＆ベンディング株式会社,道路貨物運送業（宅配便・トラック運送など）,無,北海道札幌市東区東雁来十三条4-1-1,2023,代表取締役 山田 雄亮,543,10 百万円,,,道内を販売地域とした飲料営業、および飲料、食品等の自動販売機のオペレーション、一般貨物運送事業※自動販売機オペレーション事業自動販売機へのコカ・コーラ製品の補充、品質および衛生管理を行うKO事業と、多様なメーカーの飲料製品を販売するMIX機、その他パン、お菓子等の自動販売機を管理するFV事業を行っております。 2023年10月doda掲載求人より引用,
2024-08-01,新日本海フェリー株式会社,海運業,求人なし,大阪府大阪市北区梅田2-5-25梅田阪神第1ビル 15Ｆ,1969,代表取締役社長 入谷 泰生,536,"1,950 百万円",,,,
2024-08-01,伊豆箱根交通株式会社,道路旅客運送業,求人なし,静岡県三島市大場300,1974,代表取締役 吉村 長男,529,50 百万円,,,,
2024-08-01,富士港運株式会社,道路貨物運送業（宅配便・トラック運送など）,無,東京都港区浜松町1-29-6浜松町セントラルビル,1950,代表取締役 佐藤 博隆,525,546 百万円,,,情報が古い可能性があります。最新の情報を確認する場合はHP等をご覧ください。 ■港湾運送業■倉庫業■一般貨物自動車運送事業■貨物利用運送事業■外航海運事業■通関業■海運仲立業及び海運代理店業■計量証明業 2022年9月doda掲載求人より引用,
2024-08-01,山九山口ビジネス株式会社,倉庫業・梱包業,無,山口県下松市新川2-14-23,1950,代表取締役 力丸 隆行,524,10 百万円,,,鉄鋼系・化学系・機械メーカーの構内で、お客さまのニーズに対応した作業を遂行しています。原材料の受入れから製品出荷まで、一貫したサービスを高い作業品質で提供いたします。構外のお客さまへの派遣業務、徳山・下松港や岩国・大竹港の港湾事業等、幅広く事業展開を行っています。 2023年11月doda掲載求人より引用,
2024-08-01,名鉄観光バス株式会社,道路旅客運送業,無,愛知県名古屋市中川区西日置2-3-5,1969,代表取締役 荻本 正久,515,100 百万円,,,,
2024-08-01,日軽物流株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,東京都港区新橋1-1-13アーバンネット内幸町ビル,1978,代表取締役 菅原 佳憲,514,353 百万円,,,,
2024-08-01,富山地方鉄道株式会社,鉄道業,求人なし,富山県富山市桜町1-1-36,1932,代表取締役社長 中田 邦彦,510,"1,557 百万円",,,,
2024-08-01,株式会社Ｋスカイ,航空運輸業,求人なし,大阪府泉南郡田尻町泉州空港中1関西国際空港内 航空会社南ビル 5Ｆ,1992,代表取締役 岡 裕次,506,50 百万円,,,,
2024-08-01,株式会社ＪＡＬスカイ九州,航空運輸業,求人なし,福岡県福岡市博多区大字下臼井778-1福岡空港第3ターミナル内,1986,代表取締役 峯 信一,504,30 百万円,,,,
2024-08-01,阪神バス株式会社,道路旅客運送業,求人なし,兵庫県尼崎市大庄川田町108-1,2005,代表取締役社長 上田 晋也,502,90 百万円,,,,
2024-08-01,岡本物流株式会社,海運業,求人なし,東京都港区海岸3-26-1バーク芝浦 9Ｆ,1943,代表取締役 岡本 雅晴,498,70 百万円,,,,
