更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,大三運輸工業株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県神戸市中央区脇浜町2-1-16三輪運輸工業（株）本社ビル 3Ｆ,1969,代表取締役 加納 章,30 百万円,,,,,
2024-08-01,株式会社神戸フエリー・センター,海運業,求人なし,兵庫県神戸市中央区新港町3-7,1969,代表取締役 黒田 有恒,50 百万円,,,,,
2024-08-01,甲陽運輸株式会社,海運業,無,兵庫県神戸市中央区海岸通5-1-16,1953,代表取締役 田岡 龍,24 百万円,,,,,
2024-08-01,株式会社新陸運輸,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市大正区北恩加島1-18-21,1964,代表取締役 金城 行彦,10 百万円,,,,,
2024-08-01,相和ステンレス株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市大正区北恩加島1-17-22,1968,代表取締役 岡﨑 志郎,10 百万円,,,,,
2024-08-01,進栄運輸有限会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,兵庫県神戸市中央区栄町通5-2-16,1959,代表取締役 宮﨑 愼一,45 百万円,,,,,
2024-08-01,竹内運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市大正区千島3-11-13グリタビル 7Ｆ,1959,代表取締役 竹内 佳之,10 百万円,,,,,
2024-08-01,光徳産業株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,山口県光市光井4-27-20,1960,代表取締役社長 谷口 俊寛,10 百万円,,,,,
2024-08-01,丸金運送株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,大阪府大阪市大正区南恩加島5-11-41,1956,代表取締役 金澤 規勝,39 百万円,,,,,
2024-08-01,青正運輸株式会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県川崎市川崎区東門前3-12-1秋山ビル2Ｆ,1952,代表取締役 森田 雅之,10 百万円,,,,,
2024-08-01,サンエースシツピング株式会社,海運業,求人なし,兵庫県神戸市中央区栄町通2-1-3謙昌ビル 5Ｆ,1977,代表取締役 德田 秀夫,10 百万円,,,,,
2024-08-01,大正埠頭作業株式会社,海運業,求人なし,大阪府大阪市大正区小林西1-25-13大正内港海運ビル 2Ｆ,1966,代表取締役 永冨 泰彦,15 百万円,,,,,
2024-08-01,高大工業運輸有限会社,道路貨物運送業（宅配便・トラック運送など）,求人なし,神奈川県川崎市川崎区追分町4-5,1970,代表取締役 高橋 大介,6 百万円,,,,,
2024-08-01,木津川倉庫株式会社,倉庫業・梱包業,求人なし,大阪府大阪市大正区南恩加島1-12-6,1952,代表取締役 平山 幸司,36 百万円,,,,,
