更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-08-01,日本生命保険相互会社,生命保険,99+,■事業内容：個人および企業向け各種保険の引受け・保全サービス、有価証券投資・貸付・不動産投資など受託資産の運用、付随業務,大阪府大阪市中央区今橋3-5-12,1889,68072,"1,450,000百万円",,https://www.nissay.co.jp,,
2024-08-01,第一生命保険株式会社,生命保険,59,■会社概要第一生命は、1902 年、日本での創業以来、お客さま本位（お客さま第一）を経営の基本理念に据え、生命保険の提供を中心に、地域社会への貢献に努めてきました。これからも、お客さまとお客さまの大切な人々の“一生涯のパートナー”として、グループ各社とともに、それぞれの地域で、人々の安心で豊かな暮らしと地域社会の発展に貢献していきます。,東京都千代田区有楽町1-13-1,1902,52384,"60,000百万円",,http://www.dai-ichi-life.co.jp/,,
2024-08-01,ＳＯＭＰＯホールディングス株式会社,損害保険,10,■事業内容：損害保険会社、生命保険会社その他の保険業法の規定により子会社等とした会社の経営管理およびこれに附帯する業務■グループ経営理念：ＳＯＭＰＯグループは、お客さまの視点すべての価値判断を行い、保険を基盤としてさらに幅広い事業活動を通じ、お客さまの安心・安全・健康に資する最高品質のサービスをご提供し、社会に貢献します。,東京都新宿区西新宿1-26-1,2010,506,"100,000百万円",,http://www.sompo-hd.com/,プライム市場,
2024-08-01,明治安田生命保険相互会社,生命保険,28,■事業内容：（１）生命保険業 （２）他の保険会社（外国保険業者を含む。）その他金融業を行なう者の業務の代理または事務の代行、債務の保証その他の前号の業務に付随する業務 （３）国債、地方債または政府保証債の売買、地方債または社債その他の債券の募集または管理の受託その他の保険業法により行なうことのできる業務および保険業法以外の法律により生命保険会社が行なうことのできる業務 （４）その他前各号に掲げる業務に付帯または関連する事項,東京都千代田区丸の内2-1-1,1881,47216,"980,000百万円",,https://www.meijiyasuda.co.jp/,,
2024-08-01,株式会社三菱ＵＦＪ銀行,都市銀行,99+,■業務内容：銀行事業預金業務、貸出業務、商品有価証券売買業務、有価証券投資業務、内国為替業務、外国為替業務、社債受託および登録業務、金融先物取引の受託業務、その他付帯業務,東京都千代田区丸の内2-7-1,1919,31756,"1,711,958百万円",,https://www.bk.mufg.jp/index.html,プライム市場,
2024-08-01,株式会社三井住友銀行,都市銀行,99+,三井住友銀行は、平成13年4月にさくら銀行と住友銀行が合併して発足しました。平成14年12月、株式移転により銀行持株会社として三井住友フィナンシャルグループを設立し、その完全子会社となりました。平成15年3月には、わかしお銀行と合併しています。三井住友銀行は、三井住友フィナンシャルグループの中核的存在であり、「三井」・「住友」の2大企業グループを含む大企業顧客基盤と、中小企業及び個人の顧客基盤の厚さは本邦トップレベルの位置に属しています。国内有数の営業基盤、戦略実行のスピード、更には有力グループ会社群による金融サービス提供力に強みを持っています。,東京都千代田区丸の内1-1-2,1996,27945,"1,770,900百万円",39.6,http://www.smbc.co.jp/,,
2024-08-01,株式会社みずほ銀行,都市銀行,99+,〈みずほ〉は銀行・信託・証券、アセットマネジメント、シンクタンクなどあらゆる金融機能を傘下にもつ総合金融グループです。国内外の厚い顧客基盤、高度なプロダクツ力、邦銀随一の産業知見を強みとして、「日本、そして、アジアと世界の発展に貢献し、お客さまから最も信頼されるグローバルで開かれた金融グループ」をめざしています。拠点数国内ネットワーク：461拠点（2023年6月30日現在）海外ネットワーク：82拠点（2023年6月30日現在）,東京都千代田区大手町1-5-5大手町タワー,2013,24652,"1,404,000百万円",,https://www.mizuhobank.co.jp/corporate/index.html,,
2024-08-01,損害保険ジャパン株式会社,損害保険,99+,【損害保険業】・損害保険業・他の保険会社の保険業に係る業務の代理または事務の代行・債務の保証 等,東京都新宿区西新宿1-26-1,1888,2,700億円,44.6,https://www.sompo-japan.co.jp/,,取締役社長 石川 耕治
2024-08-01,株式会社かんぽ生命保険,生命保険,62,■事業概要：・保険商品・お客さまの生活に寄り添う各種サービスの提供・新商品・サービス企画■事業詳細：・生命保険商品（終身保険/養老保険/学資保険/定期保険/年金保険等）の引受け・資産の運用（ポートフォリオ・マネジメント業務、ファンドマネジメント業務、融資・審査業務、運用評価・リスク管理業務、運用システムに関する業務）■商品ラインナップ：終身保険、養老保険、学資保険、定期保険、年金保険 など,東京都千代田区大手町2-3-1大手町プレイスウエストタワー,2007,19148,"500,000百万円",43.6,http://www.jp-life.japanpost.jp/,プライム市場,
2024-07-01,朝日生命保険相互会社,生命保険,7,■「まごころの奉仕」を経営の基本理念とし、1888年の創業以来、多くのお客様からのご支援をいただくことで事業を発展させ、今年で創業130年以上になります。■人生100年時代の到来、健康増進意識の高まり、就業女性・シングル層の増加等、社会の変化に伴い、新たな保険ニーズが生まれる可能性をしっかりと捉え、「介護保険等第三分野に注力する同社が、役割発揮すべき分野はさらに拡大していく」との認識のもと、より一層存在感を発揮すべく取組んでいく必要があると考えております。,東京都新宿区四谷1-6-1YOTSUYA TOWER,1888,18609,,,http://www.asahi-life.co.jp,,
