更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,事業内容,上場市場名
2024-08-01,東日本建設業保証株式会社,その他金融,求人なし,東京都中央区八丁堀2-27-10,1952,代表取締役社長 原田 保夫,265,"2,000 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,共立株式会社,保険代理店,求人なし,東京都中央区日本橋2-2-16共立日本橋ビル,1910,代表取締役 長谷川 浩一,262,322 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,中栄信用金庫,信用金庫・信用組合・労働金庫,求人なし,神奈川県秦野市元町1-7,1951,理事長 北村 圭一,262,185 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,遠州信用金庫,信用金庫・信用組合・労働金庫,求人なし,静岡県浜松市中央区中沢町81-18,1950,代表理事 守田 泰男,261,585 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,プレミア株式会社,クレジット・信販（ノンバンク）,無,東京都港区虎ノ門2-10-4オークラプレステージタワー 19Ｆ,2007,代表取締役 大貫 徹,255,"1,515 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,宮崎第一信用金庫,信用金庫・信用組合・労働金庫,求人なし,宮崎県宮崎市橘通東2-4-1,1951,代表理事 増森 幸一,253,852 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,玉島信用金庫,信用金庫・信用組合・労働金庫,求人なし,岡山県倉敷市玉島1438,1914,代表理事 宅和 博彦,251,935 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社証券保管振替機構,証券取引所,無,東京都中央区日本橋兜町7-1ＫＡＢＵＴＯ ＯＮＥ,2002,代表執行役社長 中村 明雄,251,"4,250 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ＮＸ・ＴＣリース＆ファイナンス株式会社,リース,求人なし,東京都港区東新橋1-5-2汐留シティセンター 34Ｆ,2021,代表取締役社長 小林 淳一,248,"1,000 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,中南信用金庫,信用金庫・信用組合・労働金庫,求人なし,神奈川県中郡大磯町大磯1133-1,1948,代表理事 大藤 勉,242,645 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,農林中金全共連アセットマネジメント株式会社,投信・投資顧問,求人なし,東京都千代田区九段南1-6-5九段会館テラス,1993,代表取締役 牛窪 克彦,241,"1,466 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ジャルカード,クレジット・信販（ノンバンク）,求人なし,東京都品川区東品川2-4-11野村不動産天王洲ビル,1984,代表取締役 西畑 智博,238,360 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,結城信用金庫,信用金庫・信用組合・労働金庫,求人なし,茨城県結城市大字結城557,1902,代表理事 石塚 清博,238,"1,941 百万円",,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,トラベレックスジャパン株式会社,その他金融,無,東京都港区赤坂2-9-11オリックス赤坂2丁目ビル 6Ｆ,2003,代表取締役 大谷 淳,234,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,■外貨両替■国際送金■海外専用プリペイドカードの発行■その他旅行関連金融サービス 2023年12月doda掲載求人より引用,
2024-08-01,静銀モーゲージサービス株式会社,その他金融,求人なし,静岡県静岡市清水区草薙北2-1静岡銀行南館,1990,代表取締役 岡山 尊,228,50 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＪＦＲサービス,リース,求人なし,大阪府高槻市紺屋町2-1,1941,代表取締役 東 順一,228,100 百万円,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
