更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,上場市場名,事業内容
2024-08-01,紅和産業株式会社,保険代理店,求人なし,神奈川県横浜市西区戸部本町8-7紅梅組第2ビル,1982,代表取締役 清水 貴,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,日本クラウド証券株式会社,証券会社,求人なし,東京都渋谷区恵比寿1-18-14恵比寿ファーストスクエア 9Ｆ,1997,代表取締役 神 恭平,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,横浜キャピタル株式会社,その他金融,求人なし,神奈川県横浜市西区みなとみらい3-1-1横浜銀行本店ビル 22Ｆ,1984,代表取締役 田邉 俊治,300 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社北陸エージェンシー,生命保険,求人なし,福井県福井市下細江町15-71,1980,取締役 三上 智英,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,みらい證券株式会社,ベンチャーキャピタル・プライベートエクイティ,求人なし,東京都港区西新橋3-4-2ヤマキ第2ビル 3Ｆ,1998,代表取締役社長 上島 健史,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,新潟信用金庫,信用金庫・信用組合・労働金庫,求人なし,新潟県新潟市中央区西堀通5番町855-1,1943,代表理事 阿部 隆,79 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,北陸労働金庫,信用金庫・信用組合・労働金庫,求人なし,石川県金沢市芳斉2-15-18,1954,代表理事長 山岸 克司,"4,058 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,カネツ商事株式会社,商品先物取引,無,東京都中央区日本橋久松町12-8プライム日本橋久松町ビル,1953,代表取締役 大洞 新二,430 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社しん証券さかもと,証券会社,求人なし,石川県金沢市駅西本町1-11-24,1933,代表取締役 小々高 利昭,300 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社小林洋行,外国為替,求人なし,東京都中央区日本橋蛎殻町1-15-7小林洋行ビル2号館,1949,代表取締役社長 細金 成光,"2,000 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,スタンダード,
2024-08-01,株式会社ＳＢＩネオトレード証券,証券会社,求人なし,東京都港区六本木1-6-1泉ガーデンタワー 29Ｆ,1948,代表取締役 石川 和幸,"3,600 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
