更新日,名称,業界(小分類),求人有無,所在地,設立,代表者,資本金,平均年齢,従業員数,企業URL,事業内容,上場市場名
2024-08-01,プルーデント・ジャパン・ホールディングス株式会社,その他金融,求人なし,東京都中央区新川1-17-22松井ビル 2Ｆ,2000,代表取締役 瀧川 茂一,66 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,ＰＧビジネスサービス株式会社,その他金融,求人なし,東京都豊島区東池袋4-24-3ジブラルタ生命池袋ビル 4Ｆ,1974,代表取締役 長野 一典,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社マルエイソリューション,保険代理店,求人なし,岐阜県岐阜市本荘西4-128,1995,代表取締役 横井 巧,50 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,田原証券株式会社,証券会社,求人なし,愛知県田原市田原町本町50-5,1929,代表取締役 森田 雅人,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アームジャパンプロックス,保険代理店,求人なし,大阪府大東市赤井1-15-1大東ビル 4Ｆ,1997,代表取締役 河野 正義,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ダーウィン,保険代理店,無,群馬県桐生市相生町1-298-14ダーウィンスクエア 2Ｆ,1999,代表取締役 須永 博之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社伴保険部,損害保険,求人なし,福井県福井市宝永3-20-19,1959,代表取締役 國嶋 卓司,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,パスライト株式会社,リース,求人なし,和歌山県和歌山市和歌浦中3-3-24,2000,代表取締役 門 由美子,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社埼玉インシュアランス,保険代理店,求人なし,埼玉県川口市戸塚東1-6-151Ｆ,1989,代表取締役 齋藤 幸雄,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社大和保険事務所,損害保険,求人なし,埼玉県久喜市久喜東1-8-38,2007,代表取締役 鈴木 大吾,5 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,イーネクサス株式会社,保険代理店,求人なし,大阪府枚方市大垣内町3-3-3,2002,代表取締役 岩本 茂之,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社ジエーシーエム,保険代理店,求人なし,埼玉県朝霞市三原1-4-3,1996,代表取締役 水野 秀一,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社スマートプラン,生命保険,求人なし,埼玉県行田市桜町1-6-5,1996,代表取締役 田島 博夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社福島保険事務所,保険代理店,求人なし,埼玉県鴻巣市中央27-34,1994,代表取締役 福島 芳人,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社静岡パブリツク・リレイシヨン,リース,求人なし,静岡県静岡市葵区伝馬町17-5飯島ビル,1988,代表取締役 飯島 岩男,12 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,有限会社エスアールエム,損害保険,求人なし,静岡県静岡市駿河区みずほ1-3-6,1998,代表取締役 小澤 慶英,3 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,南都まほろば証券株式会社,証券会社,求人なし,奈良県奈良市西大寺東町2-1-56,1944,代表取締役 松浦 祐司,"3,000 百万円",,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アスクコーポレーション,クレジット・信販（ノンバンク）,求人なし,広島県広島市西区東観音町4-19ラフェリア東観音 901,1994,代表取締役 井手川 学,2 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社アドミ,保険代理店,無,兵庫県西宮市産所町15-13,1995,代表取締役 清水 信,99 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社札幌メンテナンス,保険代理店,求人なし,北海道札幌市北区新琴似六条15-1-1札幌メンテナンスビル 2Ｆ,1989,代表取締役 武田 智靖,8 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エフケーリンク,保険代理店,求人なし,青森県弘前市大字大清水4-9-3,1992,代表取締役 福澤 秋夫,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社東京海上日動パートナーズ北海道,損害保険,求人なし,北海道札幌市中央区北一条西3-3-22ＳＴＶ時計台通ビル 6Ｆ,2001,代表取締役 田村 忠宣,100 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,フェニックス・キャピタル株式会社,投信・投資顧問,求人なし,東京都千代田区丸の内2-5-1丸の内二丁目ビル 6Ｆ,2002,代表取締役 三村 智彦,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,メッツラー・アセット・マネジメント株式会社,投信・投資顧問,求人なし,東京都千代田区内幸町2-2-2富国生命ビル23Ｆ,2001,代表取締役 佐藤 充弘,200 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社エフピー・リンク,その他金融,求人なし,東京都港区南青山1-4-17美松ビル 8Ｆ,1989,代表取締役 鈴木 健嗣,21 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,株式会社ＦＸブロードネット,その他金融,求人なし,東京都千代田区丸の内1-11-1パシフィックセンチュリープレイス丸ノ内 17Ｆ,1993,代表取締役 山口 裕,300 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,兜町インターナショナル株式会社,証券会社,求人なし,東京都千代田区神田猿楽町1-5-3,1980,代表取締役 松下 篤三,10 百万円,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
2024-08-01,一般社団法人金融先物取引業協会,その他金融,求人なし,東京都千代田区神田小川町1-3ＮＢＦ小川町ビルディング 2Ｆ,1989,代表理事 三毛 兼承,,,,Error accessing nan: Invalid URL 'nan': No scheme supplied. Perhaps you meant https://nan?,,
